,,4-2021 Product Mix Report
Poscode,Product Name,Category,Quantity,UPT,Net Sales,
201,BOOK 1 - The Twins Follow A Polar Bear,,64,0.12,0.00,
202,BOOK 2 - The Twins Meet A Quagga,,20,0.04,0.00,
203,BOOK 3 - The Twins Help A Pink Dolphin,,31,0.06,0.00,
204,BOOK 4 - The Twins Discover A Dodo,,16,0.03,0.00,
1109,**UP MED COKE 16oz (HM),UPGRADE,66,0.12,664.29,
1110,**UP MED SPRITE 16oz (HM),UPGRADE,27,0.05,257.14,
1111,**UP MED C ZERO 16oz (HM),UPGRADE,29,0.05,278.57,
1114,**ITEA UP 12oz (HM),REGULARS,1932,3.51,0.00,
1193,ITEA UP 16oz (HM),UPSIZE,88,0.16,1410.71,
1194,OJ UP 16oz (HM),UPSIZE,477,0.87,7874.98,
1198,UP REG CFLOAT (HM),UPSIZE,2170,3.94,37851.87,
1218,**HASHBROWN ALC,BREAKFAST BA,21967,39.88,395733.33,
1220,**2PC HCAKE+SSG ALC,BREAKFAST ALC,2955,5.36,160346.97,
1223,**PLAIN MCMUFF,BREAKFAST ALC,12,0.02,333.93,
1230,**XTRA GARLIC RICE,EXTRA,312,0.57,5828.00,
1231,**CHBRGR ALC,BURGER ALC,53452,97.04,1618528.67,
1232,**DBL CHBRGR ALC,BURGER ALC,9226,16.75,730087.23,
1233,**QTR PNDR W/CHIZ ALC,BURGER ALC,7435,13.5,794036.88,
1234,**BIGMAC ALC,BURGER ALC,9322,16.92,970495.43,
1236,**MCCHIX ALC,BURGER ALC,10664,19.36,849643.20,
1242,**MEDIUM FRIES ALC,FRIES,38113,69.19,1454177.12,
1243,**XTRA PLAIN RICE,EXTRA,10053,18.25,147276.60,
1248,**XTRA BUTTER,EXTRA,324,0.59,1892.86,
1249,**REG COKE (12oz),BEVERAGES,799,1.45,19597.33,
1250,**MED COKE (16oz),BEVERAGES,812,1.47,29983.92,
1251,**LRG COKE (22oz),BEVERAGES,1158,2.1,51206.90,
